"","facility","total","vaginal","vbac","cesarean","county","year"
"889","Three Rivers Community Hospital",752,597,2,153,"Josephine County",2013
"890","Trillium Birth Center - Redwood",18,18,0,0,"Josephine County",2013
"891","Home birth (planned)",33,31,2,0,"Josephine County",2013
"892","Other",3,3,0,0,"Josephine County",2013
"893","Total births",787,588,2,197,"Klamath County",2013
"894","Sky Lakes Medical Center",786,587,2,197,"Klamath County",2013
"895","Home birth (planned)",1,1,0,0,"Klamath County",2013
"896","Total births",70,46,0,24,"Lake County",2013
"897","Lake District Hospital",68,44,0,24,"Lake County",2013
"898","Other",2,2,0,0,"Lake County",2013
"899","Total births",3822,2505,63,1254,"Lane County",2013
"900","McKenzie-Willamette Medical Center",642,420,1,221,"Lane County",2013
"901","Peace Harbor MC",72,59,0,13,"Lane County",2013
"902","Sacred Heart Medical Center",1,0,0,1,"Lane County",2013
"903","Sacred Heart - River Bend",2867,1791,57,1019,"Lane County",2013
"904","PeaceHealth Nurse Midwifery Birth Center",137,137,0,0,"Lane County",2013
"905","Sacred Waters Birthing Center",16,15,1,0,"Lane County",2013
"906","Home birth (planned)",77,74,3,0,"Lane County",2013
"907","Home birth (unplanned)",3,3,0,0,"Lane County",2013
"908","Home birth (unknown if planned)",2,1,1,0,"Lane County",2013
"909","Other",5,5,0,0,"Lane County",2013
"910","Total births",340,245,2,93,"Lincoln County",2013
"911","Samaritan North Lincoln Hospital",139,111,0,28,"Lincoln County",2013
"912","Samaritan Pacific Communities Hospital",184,118,1,65,"Lincoln County",2013
"913","Home Sweet Home Birth Center",6,6,0,0,"Lincoln County",2013
"914","Home birth (planned)",10,9,1,0,"Lincoln County",2013
"915","Other",1,1,0,0,"Lincoln County",2013
"916","Total births",926,676,6,244,"Linn County",2013
"917","Samaritan Albany General Hospital",576,385,3,188,"Linn County",2013
"918","Samaritan Lebanon Community Hospital",299,242,1,56,"Linn County",2013
"919","Growing Family Birth Center LLC",13,13,0,0,"Linn County",2013
"920","Home birth (planned)",36,34,2,0,"Linn County",2013
"921","Home birth (unplanned)",1,1,0,0,"Linn County",2013
"922","Other",1,1,0,0,"Linn County",2013
"923","Total births",614,411,1,202,"Malheur County",2013
"924","Saint Alphonsus Medical Center - Ontario",611,409,0,202,"Malheur County",2013
"925","Home birth (planned)",3,2,1,0,"Malheur County",2013
"926","Total births",4820,3439,105,1276,"Marion County",2013
"927","Salem Hospital",3008,2058,54,896,"Marion County",2013
"928","Santiam Memorial Hospital",114,85,0,29,"Marion County",2013
"929","Silverton Hospital",1622,1222,49,351,"Marion County",2013
"930","Aurora Family Health & Maternity Care Services",5,5,0,0,"Marion County",2013
"931","Freestanding birth center",2,2,0,0,"Marion County",2013
"932","Home birth (planned)",62,60,2,0,"Marion County",2013
"933","Home birth (unplanned)",6,6,0,0,"Marion County",2013
"934","Other",1,1,0,0,"Marion County",2013
"935","Total births",2,2,0,0,"Morrow County",2013
"936","Pioneer Memorial Hospital (Heppner)",1,1,0,0,"Morrow County",2013
"937","Home birth (planned)",1,1,0,0,"Morrow County",2013
"938","Total births",10730,7232,431,3067,"Multnomah County",2013
"939","Adventist Medical Center",1079,742,11,326,"Multnomah County",2013
"940","Legacy Emanuel Hospital & Health Center",2067,1220,96,751,"Multnomah County",2013
"941","Legacy Good Samaritan Hospital & Medical Ctr",1023,722,6,295,"Multnomah County",2013
"942","Legacy Mt Hood Medical Center",1027,747,31,249,"Multnomah County",2013
"943","OHSU Hospitals & Clinics",2516,1566,210,740,"Multnomah County",2013
"944","Providence Portland Medical Center",2469,1699,64,706,"Multnomah County",2013
"945","Alma Midwifery Services",107,105,2,0,"Multnomah County",2013
"946","Andaluz Waterbirth Center - Portland",89,85,4,0,"Multnomah County",2013
"947","Canyon Medical Center",22,22,0,0,"Multnomah County",2013
"948","Home birth (planned)",315,309,6,0,"Multnomah County",2013
"949","Home birth (unplanned)",7,7,0,0,"Multnomah County",2013
"950","Other",9,8,1,0,"Multnomah County",2013
"951","Total births",17,15,2,0,"Polk County",2013
"952","Home birth (planned)",15,13,2,0,"Polk County",2013
"953","Other",2,2,0,0,"Polk County",2013
"954","Total births",1,1,0,0,"Sherman County",2013
"955","Home birth (planned)",1,1,0,0,"Sherman County",2013
"956","Total births",177,117,0,60,"Tillamook County",2013
"957","General Hospital",168,108,0,60,"Tillamook County",2013
"958","Home birth (planned)",9,9,0,0,"Tillamook County",2013
"959","Total births",843,623,6,214,"Umatilla County",2013
"960","Good Shepherd Medical Center",489,347,4,138,"Umatilla County",2013
"961","St Anthony Hospital",343,267,0,76,"Umatilla County",2013
"962","Home birth (planned)",8,6,2,0,"Umatilla County",2013
"963","Home birth (unplanned)",2,2,0,0,"Umatilla County",2013
"964","Other",1,1,0,0,"Umatilla County",2013
"965","Total births",290,193,1,96,"Union County",2013
"966","Grande Ronde Hospital",269,173,0,96,"Union County",2013
"967","Home birth (planned)",21,20,1,0,"Union County",2013
"968","Total births",62,36,0,26,"Wallowa County",2013
"969","Wallowa Memorial Hospital",60,34,0,26,"Wallowa County",2013
"970","Home birth (planned)",2,2,0,0,"Wallowa County",2013
"971","Total births",280,182,0,98,"Wasco County",2013
"972","Mid-Columbia Medical Center",277,179,0,98,"Wasco County",2013
"973","Home birth (planned)",3,3,0,0,"Wasco County",2013
"974","Total births",6746,4546,217,1983,"Washington County",2013
"975","Kaiser Foundation - Westside",514,355,14,145,"Washington County",2013
"976","Providence St Vincent Medical Center",5221,3444,169,1608,"Washington County",2013
"977","Tuality Community Hospital - Hillsboro",868,613,25,230,"Washington County",2013
"978","Andaluz Waterbirth Center - Tualatin",44,40,4,0,"Washington County",2013
"979","Home birth (planned)",86,81,5,0,"Washington County",2013
"980","Home birth (unplanned)",11,11,0,0,"Washington County",2013
"981","Other",2,2,0,0,"Washington County",2013
"982","Total births",1,1,0,0,"Wheeler County",2013
"983","Home birth (planned)",1,1,0,0,"Wheeler County",2013
"984","Total births",1132,842,11,279,"Yamhill County",2013
"985","Providence Newberg Medical Center",526,402,2,122,"Yamhill County",2013
"986","Willamette Valley Medical Center",496,333,6,157,"Yamhill County",2013
"987","PeaceHealth Cottage Grove Hospital & Clinics",1,1,0,0,"Yamhill County",2013
"988","Bella Vie Gentle Birth Center",87,85,2,0,"Yamhill County",2013
"989","Home birth (planned)",22,21,1,0,"Yamhill County",2013
"990","Total births",46100,32349,1109,12640,"State total",2014
"991","Total births",139,101,5,33,"Baker County",2014
"992","Saint Alphonsus Medical Center - Baker City",122,85,4,33,"Baker County",2014
"993","Home Birth (Planned)",15,14,1,0,"Baker County",2014
"994","Home Birth (Unplanned)",2,2,0,0,"Baker County",2014
"995","Total births",1069,822,49,198,"Benton County",2014
"996","Good Samaritan Regional Medical Center",1032,790,44,198,"Benton County",2014
"997","Home Birth (Planned)",34,29,5,0,"Benton County",2014
"998","Home Birth (Unplanned)",1,1,0,0,"Benton County",2014
"999","Other",2,2,0,0,"Benton County",2014
"1000","Total births",4510,3246,135,1129,"Clackamas County",2014
"1001","Kaiser Sunnyside Medical Center",2068,1524,60,484,"Clackamas County",2014
"1002","Legacy Meridian Park Medical Center",1148,762,30,356,"Clackamas County",2014
"1003","Providence Milwaukie Hospital",1,1,0,0,"Clackamas County",2014
"1004","Providence Willamette Falls Medical Center",1173,846,38,289,"Clackamas County",2014
"1005","Home Birth (Planned)",113,106,7,0,"Clackamas County",2014
"1006","Home Birth (Unplanned)",7,7,0,0,"Clackamas County",2014
"1007","Total births",431,296,2,133,"Clatsop County",2014
"1008","Columbia Memorial Hospital",311,211,0,100,"Clatsop County",2014
"1009","Providence Seaside Hospital",109,76,0,33,"Clatsop County",2014
"1010","Home Birth (Planned)",10,8,2,0,"Clatsop County",2014
"1011","Other",1,1,0,0,"Clatsop County",2014
"1012","Total births",18,18,0,0,"Columbia County",2014
"1013","Home Birth (Planned)",15,15,0,0,"Columbia County",2014
"1014","Home Birth (Unplanned)",3,3,0,0,"Columbia County",2014
"1015","Total births",691,490,8,193,"Coos County",2014
"1016","Bay Area Hospital",686,485,8,193,"Coos County",2014
"1017","Home Birth (Planned)",5,5,0,0,"Coos County",2014
"1018","Total births",5,5,0,0,"Crook County",2014
"1019","Home Birth (Planned)",4,4,0,0,"Crook County",2014
"1020","Home Birth (Unplanned)",1,1,0,0,"Crook County",2014
"1021","Total births",32,27,0,5,"Curry County",2014
"1022","Curry General Hospital",19,14,0,5,"Curry County",2014
"1023","Home Birth (Planned)",5,5,0,0,"Curry County",2014
"1024","Other",8,8,0,0,"Curry County",2014
"1025","Total births",2189,1595,37,557,"Deschutes County",2014
"1026","St Charles Medical Center - Bend",1718,1212,36,470,"Deschutes County",2014
"1027","St Charles Medical Center - Redmond",415,328,0,87,"Deschutes County",2014
"1028","Bend Birth Center",6,6,0,0,"Deschutes County",2014
"1029","Home Birth (Planned)",49,48,1,0,"Deschutes County",2014
"1030","Home Birth (Unplanned)",1,1,0,0,"Deschutes County",2014
"1031","Total births",941,699,15,227,"Douglas County",2014
"1032","Mercy Medical Center",916,675,14,227,"Douglas County",2014
"1033","Home Birth (Planned)",21,20,1,0,"Douglas County",2014
"1034","Home Birth (Unplanned)",2,2,0,0,"Douglas County",2014
"1035","Home Birth (Unknown if Planned)",1,1,0,0,"Douglas County",2014
"1036","Other",1,1,0,0,"Douglas County",2014
"1037","Total births",64,47,0,17,"Grant County",2014
"1038","Blue Mountain Hospital",48,31,0,17,"Grant County",2014
"1039","Home Birth (Planned)",15,15,0,0,"Grant County",2014
"1040","Other",1,1,0,0,"Grant County",2014
"1041","Total births",58,46,0,12,"Harney County",2014
"1042","Harney District Hospital",58,46,0,12,"Harney County",2014
"1043","Total births",470,364,4,102,"Hood River County",2014
"1044","Providence Hood River Memorial Hospital",464,358,4,102,"Hood River County",2014
"1045","Home Birth (Planned)",4,4,0,0,"Hood River County",2014
"1046","Other",2,2,0,0,"Hood River County",2014
"1047","Total births",2513,1709,31,773,"Jackson County",2014
"1048","Asante Ashland Community Hospital",281,196,9,76,"Jackson County",2014
"1049","Providence Medford Medical Center",520,378,3,139,"Jackson County",2014
"1050","Rogue Valley Medical Center",1581,1009,14,558,"Jackson County",2014
"1051","Trillium Birth Center - Medford",42,41,1,0,"Jackson County",2014
"1052","Kalista Birth Sanctuary",16,15,1,0,"Jackson County",2014
"1053","Home Birth (Planned)",65,63,2,0,"Jackson County",2014
"1054","Home Birth (Unplanned)",6,5,1,0,"Jackson County",2014
"1055","Other",2,2,0,0,"Jackson County",2014
"1056","Total births",180,133,1,46,"Jefferson County",2014
"1057","St Charles - Madras",175,129,0,46,"Jefferson County",2014
"1058","Home Birth (Planned)",5,4,1,0,"Jefferson County",2014
"1059","Total births",809,644,8,157,"Josephine County",2014
"1060","Three Rivers Community Hospital",775,612,6,157,"Josephine County",2014
"1061","Trillium Birth Center - Redwood Clinic",15,14,1,0,"Josephine County",2014
"1062","Home Birth (Planned)",17,16,1,0,"Josephine County",2014
"1063","Home Birth (Unplanned)",2,2,0,0,"Josephine County",2014
"1064","Total births",822,604,2,216,"Klamath County",2014
"1065","Sky Lakes Medical Center",807,589,2,216,"Klamath County",2014
"1066","Klamath Birth Center",2,2,0,0,"Klamath County",2014
"1067","Klamath Womens Clinic & Birth Center",4,4,0,0,"Klamath County",2014
"1068","Home Birth (Planned)",7,7,0,0,"Klamath County",2014
"1069","Other",2,2,0,0,"Klamath County",2014
"1070","Total births",62,51,0,11,"Lake County",2014
"1071","Lake District Hospital",62,51,0,11,"Lake County",2014
"1072","Total births",3943,2618,81,1244,"Lane County",2014
"1073","McKenzie-Willamette Medical Center",675,477,5,193,"Lane County",2014
"1074","Peace Harbor Medical Center",74,61,0,13,"Lane County",2014
"1075","Sacred Heart Medical Center - RiverBend",2925,1817,70,1038,"Lane County",2014
"1076","PeaceHealth Medical Group Nurse Midwifery Birth Center",149,149,0,0,"Lane County",2014
"1077","Sacred Waters Birthing Center",18,18,0,0,"Lane County",2014
"1078","Home Birth (Planned)",92,87,5,0,"Lane County",2014
"1079","Home Birth (Unplanned)",5,4,1,0,"Lane County",2014
"1080","Home Birth (Unknown if Planned)",1,1,0,0,"Lane County",2014
"1081","Other",4,4,0,0,"Lane County",2014
"1082","Total births",367,270,1,96,"Lincoln County",2014
"1083","Samaritan North Lincoln Hospital",152,110,0,42,"Lincoln County",2014
"1084","Samaritan Pacific Communities Hospital",193,139,0,54,"Lincoln County",2014
"1085","Home Sweet Home Birth",12,12,0,0,"Lincoln County",2014
"1086","Home Birth (Planned)",9,8,1,0,"Lincoln County",2014
"1087","Other",1,1,0,0,"Lincoln County",2014
"1088","Total births",958,706,11,241,"Linn County",2014
"1089","Samaritan Albany General Hospital",567,390,2,175,"Linn County",2014
"1090","Samaritan Lebanon Community Hospital",304,233,5,66,"Linn County",2014
"1091","Growing Family Birth Center LLC",33,33,0,0,"Linn County",2014
"1092","Clinic/Doctor’s Office",2,1,1,0,"Linn County",2014
"1093","Home Birth (Planned)",46,43,3,0,"Linn County",2014
"1094","Home Birth (Unplanned)",3,3,0,0,"Linn County",2014
"1095","Other",3,3,0,0,"Linn County",2014
"1096","Total births",506,348,2,156,"Malheur County",2014
"1097","Saint Alphonsus Medical Center - Ontario",504,347,1,156,"Malheur County",2014
"1098","Home Birth (Planned)",2,1,1,0,"Malheur County",2014
"1099","Total births",5057,3687,108,1262,"Marion County",2014
"1100","Salem Hospital",3232,2257,57,918,"Marion County",2014
"1101","Santiam Memorial Hospital",100,67,0,33,"Marion County",2014
"1102","Silverton Hospital",1608,1253,44,311,"Marion County",2014
"1103","Aurora Birth Center",31,30,1,0,"Marion County",2014
"1104","Home Birth (Planned)",74,69,5,0,"Marion County",2014
"1105","Home Birth (Unplanned)",10,9,1,0,"Marion County",2014
"1106","Other",2,2,0,0,"Marion County",2014
"1107","Total births",10938,7328,381,3228,"Multnomah County",2014
"1108","Adventist Medical Center",1172,823,16,333,"Multnomah County",2014
"1109","Legacy Emanuel Medical Center",2155,1230,70,855,"Multnomah County",2014
"1110","Legacy Good Samaritan Medical Center",1106,734,10,362,"Multnomah County",2014
"1111","Legacy Mt Hood Medical Center",952,683,35,234,"Multnomah County",2014
"1112","OHSU Hospitals and Clinics",2459,1575,165,719,"Multnomah County",2014
"1113","Providence Portland Medical Center",2571,1786,60,725,"Multnomah County",2014
"1114","Alma Midwifery Services",92,90,2,0,"Multnomah County",2014
"1115","Andaluz Waterbirth Center - Portland",99,95,4,0,"Multnomah County",2014
"1116","Canyon Medical Center",3,3,0,0,"Multnomah County",2014
"1117","Home Birth (Planned)",304,288,16,0,"Multnomah County",2014
"1118","Home Birth (Unplanned)",16,15,1,0,"Multnomah County",2014
"1119","Home Birth (Unknown if Planned)",1,0,0,0,"Multnomah County",2014
"1120","Other",8,6,2,0,"Multnomah County",2014
"1121","Total births",40,38,2,0,"Polk County",2014
"1122","Bella Vie Gentle Birth Center",28,27,1,0,"Polk County",2014
"1123","Home Birth (Planned)",11,10,1,0,"Polk County",2014
"1124","Other",1,1,0,0,"Polk County",2014
"1125","Total births",1,1,0,0,"Sherman County",2014
"1126","Home Birth (Planned)",1,1,0,0,"Sherman County",2014
"1127","Total births",191,120,1,70,"Tillamook County",2014
"1128","Tillamook Regional Medical Center",185,114,1,70,"Tillamook County",2014
"1129","Home Birth (Planned)",6,6,0,0,"Tillamook County",2014
"1130","Total births",807,582,2,222,"Umatilla County",2014
"1131","Good Shepherd Medical Center",450,322,2,126,"Umatilla County",2014
"1132","St Anthony Hospital",335,239,0,96,"Umatilla County",2014
"1133","Home Birth (Planned)",18,18,0,0,"Umatilla County",2014
"1134","Home Birth (Unplanned)",2,2,0,0,"Umatilla County",2014
"1135","Home Birth (Unknown if Planned)",1,0,0,0,"Umatilla County",2014
"1136","Other",1,1,0,0,"Umatilla County",2014
"1137","Total births",259,165,4,90,"Union County",2014
"1138","Grande Ronde Hospital",240,148,2,90,"Union County",2014
"1139","Home Birth (Planned)",19,17,2,0,"Union County",2014
"1140","Total births",52,36,1,15,"Wallowa County",2014
"1141","Wallowa Memorial Hospital",49,34,0,15,"Wallowa County",2014
"1142","Home Birth (Planned)",1,0,1,0,"Wallowa County",2014
"1143","Home Birth (Unplanned)",2,2,0,0,"Wallowa County",2014
"1144","Total births",291,196,2,93,"Wasco County",2014
"1145","Mid-Columbia Medical Center",285,192,0,93,"Wasco County",2014
"1146","Home Birth (Planned)",6,4,2,0,"Wasco County",2014
"1147","Total births",6522,4490,205,1827,"Washington County",2014
"1148","Providence St Vincent Medical Center",4233,2748,149,1336,"Washington County",2014
"1149","Tuality Community Hospital - Hillsboro",760,570,15,175,"Washington County",2014
"1150","Kaiser Foundation Hospital - Westside",1349,996,37,316,"Washington County",2014
"1151","Andaluz Waterbirth Center - Portland",1,1,0,0,"Washington County",2014
"1152","Andaluz Waterbirth Center - Tualatin",52,50,2,0,"Washington County",2014
"1153","Canyon Medical Center",40,39,1,0,"Washington County",2014
"1154","Home Birth (Planned)",72,71,1,0,"Washington County",2014
"1155","Home Birth (Unplanned)",8,8,0,0,"Washington County",2014
"1156","Home Birth (Unknown if Planned)",1,1,0,0,"Washington County",2014
"1157","Other",6,6,0,0,"Washington County",2014
"1158","Total births",1165,867,11,287,"Yamhill County",2014
"1159","Providence Newberg Medical Center",582,437,3,142,"Yamhill County",2014
"1160","Willamette Valley Medical Center",515,366,4,145,"Yamhill County",2014
"1161","PeaceHealth Cottage Grove Community Medical Center",1,1,0,0,"Yamhill County",2014
"1162","Bella Vie Gentle Birth Center",46,44,2,0,"Yamhill County",2014
"1163","Freestanding Birth Center",5,5,0,0,"Yamhill County",2014
"1164","Home Birth (Planned)",14,12,2,0,"Yamhill County",2014
"1165","Home Birth (Unplanned)",2,2,0,0,"Yamhill County",2014
"1166","Total births",46102,32580,1012,12509,"State total",2015
"1167","Total births",107,84,1,22,"Baker County",2015
"1168","St Alphonsus Medical Center - Baker City",103,80,1,22,"Baker County",2015
"1169","Home Birth (Planned)",4,4,0,0,"Baker County",2015
"1170","Total births",1108,875,34,199,"Benton County",2015
"1171","Good Samaritan Regional Medical Center",1072,840,33,199,"Benton County",2015
"1172","Home Birth (Planned)",35,34,1,0,"Benton County",2015
"1173","Home Birth (Unplanned)",1,1,0,0,"Benton County",2015
"1174","Total births",4582,3389,109,1084,"Clackamas County",2015
"1175","Kaiser Sunnyside Medical Center",2328,1761,55,512,"Clackamas County",2015
"1176","Legacy Meridian Park Hospital",1111,751,21,339,"Clackamas County",2015
"1177","Providence Milwaukie Hospital",1,1,0,0,"Clackamas County",2015
"1178","Providence Willamette Falls Medical Center",1052,788,31,233,"Clackamas County",2015
"1179","Home Birth (Planned)",81,79,2,0,"Clackamas County",2015
"1180","Home Birth (Unplanned)",6,6,0,0,"Clackamas County",2015
"1181","Home Birth (Unknown if Planned)",2,2,0,0,"Clackamas County",2015
"1182","Other",1,1,0,0,"Clackamas County",2015
"1183","Total births",446,312,0,134,"Clatsop County",2015
"1184","Columbia Memorial Hospital",308,201,0,107,"Clatsop County",2015
"1185","Providence Seaside Hospital",120,93,0,27,"Clatsop County",2015
"1186","Home Birth (Planned)",18,18,0,0,"Clatsop County",2015
"1187","Total births",15,15,0,0,"Columbia County",2015
"1188","Home Birth (Planned)",14,14,0,0,"Columbia County",2015
"1189","Home Birth (Unplanned)",1,1,0,0,"Columbia County",2015
"1190","Total births",670,470,7,193,"Coos County",2015
"1191","Bay Area Hospital",666,466,7,193,"Coos County",2015
"1192","Home Birth (Planned)",4,4,0,0,"Coos County",2015
"1193","Total births",6,6,0,0,"Crook County",2015
"1194","St Charles - Prineville",2,2,0,0,"Crook County",2015
"1195","Home Birth (Planned)",4,4,0,0,"Crook County",2015
"1196","Total births",61,47,0,14,"Curry County",2015
"1197","Curry General Hospital",39,25,0,14,"Curry County",2015
"1198","Bright Eyes Midwifery and Wild Rivers Womens Health",8,8,0,0,"Curry County",2015
"1199","Home Birth (Planned)",6,6,0,0,"Curry County",2015
"1200","Other",8,8,0,0,"Curry County",2015
"1201","Total births",2247,1602,43,602,"Deschutes County",2015
"1202","St Charles Medical Center - Bend",1705,1140,40,525,"Deschutes County",2015
"1203","St Charles Medical Center - Redmond",466,387,2,77,"Deschutes County",2015
"1204","Bend Birth Center",19,19,0,0,"Deschutes County",2015
"1205","Home Birth (Planned)",52,52,0,0,"Deschutes County",2015
"1206","Home Birth (Unplanned)",2,1,1,0,"Deschutes County",2015
"1207","Home Birth (Unknown if Planned)",1,1,0,0,"Deschutes County",2015
"1208","Other",2,2,0,0,"Deschutes County",2015
"1209","Total births",901,669,20,212,"Douglas County",2015
"1210","Mercy Medical Center",881,651,18,212,"Douglas County",2015
"1211","Home Birth (Planned)",19,17,2,0,"Douglas County",2015
"1212","Home Birth (Unplanned)",1,1,0,0,"Douglas County",2015
"1213","Total births",49,37,2,10,"Grant County",2015
"1214","Blue Mountain Hospital District",39,29,0,10,"Grant County",2015
"1215","Home Birth (Planned)",5,4,1,0,"Grant County",2015
"1216","Other",5,4,1,0,"Grant County",2015
"1217","Total births",54,39,0,15,"Harney County",2015
"1218","Harney District Hospital",53,38,0,15,"Harney County",2015
"1219","Home Birth (Planned)",1,1,0,0,"Harney County",2015
"1220","Total births",448,343,0,105,"Hood River County",2015
"1221","Providence Hood River Memorial Hospital",436,331,0,105,"Hood River County",2015
"1222","Home Birth (Planned)",11,11,0,0,"Hood River County",2015
"1223","Home Birth (Unplanned)",1,1,0,0,"Hood River County",2015
"1224","Total births",2605,1748,24,833,"Jackson County",2015
"1225","Asante Ashland Community Hospital",279,201,10,68,"Jackson County",2015
"1226","Providence Medford Medical Center",434,299,1,134,"Jackson County",2015
"1227","Asante Rogue Valley Medical Center",1742,1103,8,631,"Jackson County",2015
"1228","Trillium Waterbirth Center - Medford",52,49,3,0,"Jackson County",2015
"1229","Kalista Birth Sanctuary",26,25,1,0,"Jackson County",2015
"1230","Home Birth (Planned)",70,69,1,0,"Jackson County",2015
"1231","Home Birth (Unplanned)",1,1,0,0,"Jackson County",2015
"1232","Other",1,1,0,0,"Jackson County",2015
"1233","Total births",86,61,0,25,"Jefferson County",2015
"1234","St Charles - Madras",82,57,0,25,"Jefferson County",2015
"1235","Home Birth (Planned)",3,3,0,0,"Jefferson County",2015
"1236","Other",1,1,0,0,"Jefferson County",2015
"1237","Total births",800,628,2,170,"Josephine County",2015
"1238","Asante Three Rivers Medical Center",751,579,2,170,"Josephine County",2015
"1239","Trillium Waterbirth Center - Redwood Clinic",16,16,0,0,"Josephine County",2015
"1240","Home Birth (Planned)",29,29,0,0,"Josephine County",2015
"1241","Home Birth (Unplanned)",3,3,0,0,"Josephine County",2015
"1242","Other",1,1,0,0,"Josephine County",2015
"1243","Total births",829,628,1,200,"Klamath County",2015
"1244","Sky Lakes Medical Center",791,591,0,200,"Klamath County",2015
"1245","Klamath Birth Center",6,6,0,0,"Klamath County",2015
"1246","Klamath Womens Clinic & Birth Center",23,22,1,0,"Klamath County",2015
"1247","Home Birth (Planned)",8,8,0,0,"Klamath County",2015
"1248","Other",1,1,0,0,"Klamath County",2015
"1249","Total births",72,52,0,20,"Lake County",2015
"1250","Lake District Hospital",71,51,0,20,"Lake County",2015
"1251","Home Birth (Unplanned)",1,1,0,0,"Lake County",2015
"1252","Total births",3906,2591,79,1235,"Lane County",2015
"1253","McKenzie-Willamette Medical Center",996,646,27,323,"Lane County",2015
"1254","Peace Harbor Medical Center",72,54,0,18,"Lane County",2015
"1255","Sacred Heart Medical Center - RiverBend",2601,1659,48,894,"Lane County",2015
"1256","PeaceHealth Medical Group Nurse Midwifery Birth Center",112,112,0,0,"Lane County",2015
"1257","Sacred Waters - A Community Birthing Center",17,17,0,0,"Lane County",2015
"1258","Home Birth (Planned)",92,89,3,0,"Lane County",2015
"1259","Home Birth (Unplanned)",9,9,0,0,"Lane County",2015
"1260","Home Birth (Unknown if Planned)",2,1,0,0,"Lane County",2015
"1261","Other",5,4,1,0,"Lane County",2015
"1262","Total births",333,243,0,90,"Lincoln County",2015
"1263","Samaritan North Lincoln Hospital",144,101,0,43,"Lincoln County",2015
"1264","Samaritan Pacific Communities Hospital",174,127,0,47,"Lincoln County",2015
"1265","Home Sweet Home Birth",6,6,0,0,"Lincoln County",2015
"1266","Home Birth (Planned)",8,8,0,0,"Lincoln County",2015
"1267","Other",1,1,0,0,"Lincoln County",2015
"1268","Total births",1006,736,6,264,"Linn County",2015
"1269","Samaritan Albany General Hospital",596,411,0,185,"Linn County",2015
"1270","Samaritan Lebanon Community Hospital",329,249,1,79,"Linn County",2015
"1271","Growing Family Birth Center",34,32,2,0,"Linn County",2015
"1272","Home Birth (Planned)",46,43,3,0,"Linn County",2015
"1273","Other",1,1,0,0,"Linn County",2015
"1274","Total births",506,336,1,169,"Malheur County",2015
"1275","St Alphonsus Medical Center - Ontario",501,331,1,169,"Malheur County",2015
"1276","Home Birth (Planned)",2,2,0,0,"Malheur County",2015
"1277","Home Birth (Unplanned)",2,2,0,0,"Malheur County",2015
"1278","Other",1,1,0,0,"Malheur County",2015
"1279","Total births",5000,3627,80,1293,"Marion County",2015
"1280","Salem Hospital",3346,2349,51,946,"Marion County",2015
"1281","Santiam Memorial Hospital",81,53,1,27,"Marion County",2015
"1282","Silverton Hospital",1476,1132,24,320,"Marion County",2015
"1283","Aurora Birth Center",38,35,3,0,"Marion County",2015
"1284","Home Birth (Planned)",48,47,1,0,"Marion County",2015
"1285","Home Birth (Unplanned)",9,9,0,0,"Marion County",2015
"1286","Other",2,2,0,0,"Marion County",2015
"1287","Total births",4,4,0,0,"Morrow County",2015
"1288","Home Birth (Planned)",4,4,0,0,"Morrow County",2015
"1289","Total births",10950,7417,384,3149,"Multnomah County",2015
"1290","Adventist Medical Center",1027,725,11,291,"Multnomah County",2015
"1291","Legacy Emanuel Medical Center",2130,1222,103,805,"Multnomah County",2015
"1292","Legacy Good Samaritan Medical Center",1116,775,13,328,"Multnomah County",2015
"1293","Legacy Mount Hood Medical Center",1038,765,26,247,"Multnomah County",2015
"1294","OHSU Hospitals and Clinics",2449,1590,138,721,"Multnomah County",2015
"1295","Providence Portland Medical Center",2749,1911,81,757,"Multnomah County",2015
"1296","Alma Midwifery Services",80,79,1,0,"Multnomah County",2015
"1297","Andaluz Birth Center - Portland",118,115,3,0,"Multnomah County",2015
"1298","Home Birth (Planned)",222,214,8,0,"Multnomah County",2015
"1299","Home Birth (Unplanned)",15,15,0,0,"Multnomah County",2015
"1300","Other",6,6,0,0,"Multnomah County",2015
"1301","Total births",18,17,1,0,"Polk County",2015
"1302","Home Birth (Planned)",17,16,1,0,"Polk County",2015
"1303","Home Birth (Unplanned)",1,1,0,0,"Polk County",2015
"1304","Total births",2,2,0,0,"Sherman County",2015
"1305","Home Birth (Planned)",2,2,0,0,"Sherman County",2015
"1306","Total births",186,132,0,54,"Tillamook County",2015
"1307","Tillamook Regional Medical Center",184,130,0,54,"Tillamook County",2015
"1308","Home Birth (Planned)",2,2,0,0,"Tillamook County",2015
"1309","Total births",784,586,2,196,"Umatilla County",2015
"1310","Good Shepherd Medical Center",437,310,0,127,"Umatilla County",2015
"1311","St Anthony Hospital",333,263,1,69,"Umatilla County",2015
"1312","Home Birth (Planned)",13,12,1,0,"Umatilla County",2015
"1313","Other",1,1,0,0,"Umatilla County",2015
"1314","Total births",267,170,0,97,"Union County",2015
"1315","Grande Ronde Hospital",248,151,0,97,"Union County",2015
"1316","Home Birth (Planned)",17,17,0,0,"Union County",2015
"1317","Other",2,2,0,0,"Union County",2015
"1318","Total births",51,29,0,22,"Wallowa County",2015
"1319","Wallowa Memorial Hospital",49,27,0,22,"Wallowa County",2015
"1320","Home Birth (Planned)",2,2,0,0,"Wallowa County",2015
"1321","Total births",320,235,1,84,"Wasco County",2015
