facility,total,vaginal,vbac,cesarean,county,year
St Charles Medical Center - Bend,1718,1212,36,470,Deschutes County,2014
St Charles Medical Center - Redmond,415,328,0,87,Deschutes County,2014
Bend Birth Center,6,6,0,0,Deschutes County,2014
Home Birth (Planned),49,48,1,0,Deschutes County,2014
Home Birth (Unplanned),1,1,0,0,Deschutes County,2014
Total Births,941,699,15,227,Douglas County,2014
Mercy Medical Center,916,675,14,227,Douglas County,2014
Home Birth (Planned),21,20,1,0,Douglas County,2014
Home Birth (Unplanned),2,2,0,0,Douglas County,2014
Home Birth (Unknown if Planned),1,1,0,0,Douglas County,2014
Other,1,1,0,0,Douglas County,2014
Total Births,64,47,0,17,Grant County,2014
Blue Mountain Hospital,48,31,0,17,Grant County,2014
Home Birth (Planned),15,15,0,0,Grant County,2014
Other,1,1,0,0,Grant County,2014
Total Births,58,46,0,12,Harney County,2014
Harney District Hospital,58,46,0,12,Harney County,2014
Total Births,470,364,4,102,Hood River County,2014
Providence Hood River Memorial Hospital,464,358,4,102,Hood River County,2014
Home Birth (Planned),4,4,0,0,Hood River County,2014
Other,2,2,0,0,Hood River County,2014
Total Births,2513,1709,31,773,Jackson County,2014
Asante Ashland Community Hospital,281,196,9,76,Jackson County,2014
Providence Medford Medical Center,520,378,3,139,Jackson County,2014
Rogue Valley Medical Center,1581,1009,14,558,Jackson County,2014
Trillium Birth Center - Medford,42,41,1,0,Jackson County,2014
Kalista Birth Sanctuary,16,15,1,0,Jackson County,2014
Home Birth (Planned),65,63,2,0,Jackson County,2014
Home Birth (Unplanned),6,5,1,0,Jackson County,2014
Other,2,2,0,0,Jackson County,2014
Total Births,180,133,1,46,Jefferson County,2014
St Charles - Madras,175,129,0,46,Jefferson County,2014
Home Birth (Planned),5,4,1,0,Jefferson County,2014
Total Births,809,644,8,157,Josephine County,2014
Three Rivers Community Hospital,775,612,6,157,Josephine County,2014
Trillium Birth Center - Redwood Clinic,15,14,1,0,Josephine County,2014
Home Birth (Planned),17,16,1,0,Josephine County,2014
Home Birth (Unplanned),2,2,0,0,Josephine County,2014
Total Births,822,604,2,216,Klamath County,2014
Sky Lakes Medical Center,807,589,2,216,Klamath County,2014
Klamath Birth Center,2,2,0,0,Klamath County,2014
Klamath Womens Clinic & Birth Center,4,4,0,0,Klamath County,2014
Home Birth (Planned),7,7,0,0,Klamath County,2014
Other,2,2,0,0,Klamath County,2014
Total Births,62,51,0,11,Lake County,2014
Lake District Hospital,62,51,0,11,Lake County,2014
Total Births,3943,2618,81,1244,Lane County,2014
McKenzie-Willamette Medical Center,675,477,5,193,Lane County,2014
Peace Harbor Medical Center,74,61,0,13,Lane County,2014
Sacred Heart Medical Center - RiverBend,2925,1817,70,1038,Lane County,2014
PeaceHealth Medical Group Nurse Midwifery Birth Center,149,149,0,0,Lane County,2014
Sacred Waters Birthing Center,18,18,0,0,Lane County,2014
Home Birth (Planned),92,87,5,0,Lane County,2014
Home Birth (Unplanned),5,4,1,0,Lane County,2014
Home Birth (Unknown if Planned),1,1,0,0,Lane County,2014
Other,4,4,0,0,Lane County,2014
Total Births,367,270,1,96,Lincoln County,2014
Samaritan North Lincoln Hospital,152,110,0,42,Lincoln County,2014
Samaritan Pacific Communities Hospital,193,139,0,54,Lincoln County,2014
Home Sweet Home Birth,12,12,0,0,Lincoln County,2014
Home Birth (Planned),9,8,1,0,Lincoln County,2014
Other,1,1,0,0,Lincoln County,2014
Total Births,958,706,11,241,Linn County,2014
Samaritan Albany General Hospital,567,390,2,175,Linn County,2014
Samaritan Lebanon Community Hospital,304,233,5,66,Linn County,2014
Growing Family Birth Center LLC,33,33,0,0,Linn County,2014
Clinic/Doctor's Office,2,1,1,0,Linn County,2014
Home Birth (Planned),46,43,3,0,Linn County,2014
Home Birth (Unplanned),3,3,0,0,Linn County,2014
Other,3,3,0,0,Linn County,2014
Total Births,506,348,2,156,Malheur County,2014
Saint Alphonsus Medical Center - Ontario,504,347,1,156,Malheur County,2014
Home Birth (Planned),2,1,1,0,Malheur County,2014
Total Births,5057,3687,108,1262,Marion County,2014
Salem Hospital,3232,2257,57,918,Marion County,2014
Santiam Memorial Hospital,100,67,0,33,Marion County,2014
Silverton Hospital,1608,1253,44,311,Marion County,2014
Aurora Birth Center,31,30,1,0,Marion County,2014
Home Birth (Planned),74,69,5,0,Marion County,2014
Home Birth (Unplanned),10,9,1,0,Marion County,2014
Other,2,2,0,0,Marion County,2014
Total Births,10938,7328,381,3228,Multnomah County,2014
Adventist Medical Center,1172,823,16,333,Multnomah County,2014
Legacy Emanuel Medical Center,2155,1230,70,855,Multnomah County,2014
Legacy Good Samaritan Medical Center,1106,734,10,362,Multnomah County,2014
Legacy Mt Hood Medical Center,952,683,35,234,Multnomah County,2014
OHSU Hospitals and Clinics,2459,1575,165,719,Multnomah County,2014
Providence Portland Medical Center,2571,1786,60,725,Multnomah County,2014
Alma Midwifery Services,92,90,2,0,Multnomah County,2014
Andaluz Waterbirth Center - Portland,99,95,4,0,Multnomah County,2014
Canyon Medical Center,3,3,0,0,Multnomah County,2014
Home Birth (Planned),304,288,16,0,Multnomah County,2014
Home Birth (Unplanned),16,15,1,0,Multnomah County,2014
Home Birth (Unknown if Planned),1,0,0,0,Multnomah County,2014
Other,8,6,2,0,Multnomah County,2014
Total Births,40,38,2,0,Polk County,2014
Bella Vie Gentle Birth Center,28,27,1,0,Polk County,2014
Home Birth (Planned),11,10,1,0,Polk County,2014
Other,1,1,0,0,Polk County,2014
Total Births,1,1,0,0,Sherman County,2014
Home Birth (Planned),1,1,0,0,Sherman County,2014
Total Births,191,120,1,70,Tillamook County,2014
Tillamook Regional Medical Center,185,114,1,70,Tillamook County,2014
Home Birth (Planned),6,6,0,0,Tillamook County,2014
Total Births,807,582,2,222,Umatilla County,2014
Good Shepherd Medical Center,450,322,2,126,Umatilla County,2014
St Anthony Hospital,335,239,0,96,Umatilla County,2014
Home Birth (Planned),18,18,0,0,Umatilla County,2014
Home Birth (Unplanned),2,2,0,0,Umatilla County,2014
Home Birth (Unknown if Planned),1,0,0,0,Umatilla County,2014
Other,1,1,0,0,Umatilla County,2014
Total Births,259,165,4,90,Union County,2014
Grande Ronde Hospital,240,148,2,90,Union County,2014
Home Birth (Planned),19,17,2,0,Union County,2014
Total Births,52,36,1,15,Wallowa County,2014
Wallowa Memorial Hospital,49,34,0,15,Wallowa County,2014
Home Birth (Planned),1,0,1,0,Wallowa County,2014
Home Birth (Unplanned),2,2,0,0,Wallowa County,2014
Total Births,291,196,2,93,Wasco County,2014
Mid-Columbia Medical Center,285,192,0,93,Wasco County,2014
Home Birth (Planned),6,4,2,0,Wasco County,2014
Total Births,6522,4490,205,1827,Washington County,2014
Providence St Vincent Medical Center,4233,2748,149,1336,Washington County,2014
Tuality Community Hospital - Hillsboro,760,570,15,175,Washington County,2014
Kaiser Foundation Hospital - Westside,1349,996,37,316,Washington County,2014
Andaluz Waterbirth Center - Portland,1,1,0,0,Washington County,2014
Andaluz Waterbirth Center - Tualatin,52,50,2,0,Washington County,2014
Canyon Medical Center,40,39,1,0,Washington County,2014
Home Birth (Planned),72,71,1,0,Washington County,2014
Home Birth (Unplanned),8,8,0,0,Washington County,2014
Home Birth (Unknown if Planned),1,1,0,0,Washington County,2014
Other,6,6,0,0,Washington County,2014
Total Births,1165,867,11,287,Yamhill County,2014
Providence Newberg Medical Center,582,437,3,142,Yamhill County,2014
Willamette Valley Medical Center,515,366,4,145,Yamhill County,2014
PeaceHealth Cottage Grove Community Medical Center,1,1,0,0,Yamhill County,2014
Bella Vie Gentle Birth Center,46,44,2,0,Yamhill County,2014
Freestanding Birth Center,5,5,0,0,Yamhill County,2014
Home Birth (Planned),14,12,2,0,Yamhill County,2014
Home Birth (Unplanned),2,2,0,0,Yamhill County,2014
Total Births,46102,32580,1012,12509,State Total,2015
Total Births,107,84,1,22,Baker County,2015
St Alphonsus Medical Center - Baker City,103,80,1,22,Baker County,2015
Home Birth (Planned),4,4,0,0,Baker County,2015
Total Births,1108,875,34,199,Benton County,2015
Good Samaritan Regional Medical Center,1072,840,33,199,Benton County,2015
Home Birth (Planned),35,34,1,0,Benton County,2015
Home Birth (Unplanned),1,1,0,0,Benton County,2015
Total Births,4582,3389,109,1084,Clackamas County,2015
Kaiser Sunnyside Medical Center,2328,1761,55,512,Clackamas County,2015
Legacy Meridian Park Hospital,1111,751,21,339,Clackamas County,2015
Providence Milwaukie Hospital,1,1,0,0,Clackamas County,2015
Providence Willamette Falls Medical Center,1052,788,31,233,Clackamas County,2015
Home Birth (Planned),81,79,2,0,Clackamas County,2015
Home Birth (Unplanned),6,6,0,0,Clackamas County,2015
Home Birth (Unknown if Planned),2,2,0,0,Clackamas County,2015
Other,1,1,0,0,Clackamas County,2015
Total Births,446,312,0,134,Clatsop County,2015
Columbia Memorial Hospital,308,201,0,107,Clatsop County,2015
Providence Seaside Hospital,120,93,0,27,Clatsop County,2015
Home Birth (Planned),18,18,0,0,Clatsop County,2015
Total Births,15,15,0,0,Columbia County,2015
Home Birth (Planned),14,14,0,0,Columbia County,2015
Home Birth (Unplanned),1,1,0,0,Columbia County,2015
Total Births,670,470,7,193,Coos County,2015
Bay Area Hospital,666,466,7,193,Coos County,2015
Home Birth (Planned),4,4,0,0,Coos County,2015
Total Births,6,6,0,0,Crook County,2015
St Charles - Prineville,2,2,0,0,Crook County,2015
Home Birth (Planned),4,4,0,0,Crook County,2015
Total Births,61,47,0,14,Curry County,2015
Curry General Hospital,39,25,0,14,Curry County,2015
Bright Eyes Midwifery and Wild Rivers Womens Health,8,8,0,0,Curry County,2015
Home Birth (Planned),6,6,0,0,Curry County,2015
Other,8,8,0,0,Curry County,2015
Total Births,2247,1602,43,602,Deschutes County,2015
St Charles Medical Center - Bend,1705,1140,40,525,Deschutes County,2015
St Charles Medical Center - Redmond,466,387,2,77,Deschutes County,2015
Bend Birth Center,19,19,0,0,Deschutes County,2015
Home Birth (Planned),52,52,0,0,Deschutes County,2015
Home Birth (Unplanned),2,1,1,0,Deschutes County,2015
Home Birth (Unknown if Planned),1,1,0,0,Deschutes County,2015
Other,2,2,0,0,Deschutes County,2015
Total Births,901,669,20,212,Douglas County,2015
Mercy Medical Center,881,651,18,212,Douglas County,2015
Home Birth (Planned),19,17,2,0,Douglas County,2015
Home Birth (Unplanned),1,1,0,0,Douglas County,2015
Total Births,49,37,2,10,Grant County,2015
Blue Mountain Hospital District,39,29,0,10,Grant County,2015
Home Birth (Planned),5,4,1,0,Grant County,2015
Other,5,4,1,0,Grant County,2015
Total Births,54,39,0,15,Harney County,2015
Harney District Hospital,53,38,0,15,Harney County,2015
Home Birth (Planned),1,1,0,0,Harney County,2015
Total Births,448,343,0,105,Hood River County,2015
Providence Hood River Memorial Hospital,436,331,0,105,Hood River County,2015
Home Birth (Planned),11,11,0,0,Hood River County,2015
Home Birth (Unplanned),1,1,0,0,Hood River County,2015
Total Births,2605,1748,24,833,Jackson County,2015
Asante Ashland Community Hospital,279,201,10,68,Jackson County,2015
Providence Medford Medical Center,434,299,1,134,Jackson County,2015
Asante Rogue Valley Medical Center,1742,1103,8,631,Jackson County,2015
Trillium Waterbirth Center - Medford,52,49,3,0,Jackson County,2015
Kalista Birth Sanctuary,26,25,1,0,Jackson County,2015
Home Birth (Planned),70,69,1,0,Jackson County,2015
Home Birth (Unplanned),1,1,0,0,Jackson County,2015
Other,1,1,0,0,Jackson County,2015
Total Births,86,61,0,25,Jefferson County,2015
St Charles - Madras,82,57,0,25,Jefferson County,2015
Home Birth (Planned),3,3,0,0,Jefferson County,2015
Other,1,1,0,0,Jefferson County,2015
Total Births,800,628,2,170,Josephine County,2015
Asante Three Rivers Medical Center,751,579,2,170,Josephine County,2015
Trillium Waterbirth Center - Redwood Clinic,16,16,0,0,Josephine County,2015
Home Birth (Planned),29,29,0,0,Josephine County,2015
Home Birth (Unplanned),3,3,0,0,Josephine County,2015
Other,1,1,0,0,Josephine County,2015
Total Births,829,628,1,200,Klamath County,2015
Sky Lakes Medical Center,791,591,0,200,Klamath County,2015
Klamath Birth Center,6,6,0,0,Klamath County,2015
Klamath Womens Clinic & Birth Center,23,22,1,0,Klamath County,2015
Home Birth (Planned),8,8,0,0,Klamath County,2015
Other,1,1,0,0,Klamath County,2015
Total Births,72,52,0,20,Lake County,2015
Lake District Hospital,71,51,0,20,Lake County,2015
Home Birth (Unplanned),1,1,0,0,Lake County,2015
Total Births,3906,2591,79,1235,Lane County,2015
McKenzie-Willamette Medical Center,996,646,27,323,Lane County,2015
Peace Harbor Medical Center,72,54,0,18,Lane County,2015
Sacred Heart Medical Center - RiverBend,2601,1659,48,894,Lane County,2015
PeaceHealth Medical Group Nurse Midwifery Birth Center,112,112,0,0,Lane County,2015
Sacred Waters - A Community Birthing Center,17,17,0,0,Lane County,2015
Home Birth (Planned),92,89,3,0,Lane County,2015
Home Birth (Unplanned),9,9,0,0,Lane County,2015
Home Birth (Unknown if Planned),2,1,0,0,Lane County,2015
Other,5,4,1,0,Lane County,2015
Total Births,333,243,0,90,Lincoln County,2015
Samaritan North Lincoln Hospital,144,101,0,43,Lincoln County,2015
Samaritan Pacific Communities Hospital,174,127,0,47,Lincoln County,2015
Home Sweet Home Birth,6,6,0,0,Lincoln County,2015
Home Birth (Planned),8,8,0,0,Lincoln County,2015
Other,1,1,0,0,Lincoln County,2015
Total Births,1006,736,6,264,Linn County,2015
Samaritan Albany General Hospital,596,411,0,185,Linn County,2015
Samaritan Lebanon Community Hospital,329,249,1,79,Linn County,2015
Growing Family Birth Center,34,32,2,0,Linn County,2015
Home Birth (Planned),46,43,3,0,Linn County,2015
Other,1,1,0,0,Linn County,2015
Total Births,506,336,1,169,Malheur County,2015
St Alphonsus Medical Center - Ontario,501,331,1,169,Malheur County,2015
Home Birth (Planned),2,2,0,0,Malheur County,2015
Home Birth (Unplanned),2,2,0,0,Malheur County,2015
Other,1,1,0,0,Malheur County,2015
Total Births,5000,3627,80,1293,Marion County,2015
Salem Hospital,3346,2349,51,946,Marion County,2015
Santiam Memorial Hospital,81,53,1,27,Marion County,2015
Silverton Hospital,1476,1132,24,320,Marion County,2015
Aurora Birth Center,38,35,3,0,Marion County,2015
Home Birth (Planned),48,47,1,0,Marion County,2015
Home Birth (Unplanned),9,9,0,0,Marion County,2015
Other,2,2,0,0,Marion County,2015
Total Births,4,4,0,0,Morrow County,2015
Home Birth (Planned),4,4,0,0,Morrow County,2015
Total Births,10950,7417,384,3149,Multnomah County,2015
Adventist Medical Center,1027,725,11,291,Multnomah County,2015
Legacy Emanuel Medical Center,2130,1222,103,805,Multnomah County,2015
Legacy Good Samaritan Medical Center,1116,775,13,328,Multnomah County,2015
Legacy Mount Hood Medical Center,1038,765,26,247,Multnomah County,2015
OHSU Hospitals and Clinics,2449,1590,138,721,Multnomah County,2015
Providence Portland Medical Center,2749,1911,81,757,Multnomah County,2015
Alma Midwifery Services,80,79,1,0,Multnomah County,2015
Andaluz Birth Center - Portland,118,115,3,0,Multnomah County,2015
Home Birth (Planned),222,214,8,0,Multnomah County,2015
Home Birth (Unplanned),15,15,0,0,Multnomah County,2015
Other,6,6,0,0,Multnomah County,2015
Total Births,18,17,1,0,Polk County,2015
Home Birth (Planned),17,16,1,0,Polk County,2015
Home Birth (Unplanned),1,1,0,0,Polk County,2015
Total Births,2,2,0,0,Sherman County,2015
Home Birth (Planned),2,2,0,0,Sherman County,2015
Total Births,186,132,0,54,Tillamook County,2015
Tillamook Regional Medical Center,184,130,0,54,Tillamook County,2015
Home Birth (Planned),2,2,0,0,Tillamook County,2015
Total Births,784,586,2,196,Umatilla County,2015
Good Shepherd Medical Center,437,310,0,127,Umatilla County,2015
St Anthony Hospital,333,263,1,69,Umatilla County,2015
Home Birth (Planned),13,12,1,0,Umatilla County,2015
Other,1,1,0,0,Umatilla County,2015
Total Births,267,170,0,97,Union County,2015
Grande Ronde Hospital,248,151,0,97,Union County,2015
Home Birth (Planned),17,17,0,0,Union County,2015
Other,2,2,0,0,Union County,2015
Total Births,51,29,0,22,Wallowa County,2015
Wallowa Memorial Hospital,49,27,0,22,Wallowa County,2015
Home Birth (Planned),2,2,0,0,Wallowa County,2015
Total Births,320,235,1,84,Wasco County,2015
Mid-Columbia Medical Center,314,230,0,84,Wasco County,2015
Home Birth (Planned),6,5,1,0,Wasco County,2015
Total Births,6536,4579,193,1764,Washington County,2015
Providence St Vincent Medical Center,4212,2765,121,1326,Washington County,2015
Tuality Community Hospital - Hillsboro,728,583,19,126,Washington County,2015
Kaiser Foundation Hospital- Westside,1392,1037,43,312,Washington County,2015
Andaluz Birth Center - Tualatin,49,45,4,0,Washington County,2015
Canyon Medical Center,55,53,2,0,Washington County,2015
Home Birth (Planned),87,85,2,0,Washington County,2015
Home Birth (Unplanned),10,8,2,0,Washington County,2015
Other,3,3,0,0,Washington County,2015
Total Births,2,2,0,0,Wheeler County,2015
Home Birth (Planned),2,2,0,0,Wheeler County,2015
Total Births,1145,869,22,254,Yamhill County,2015
Providence Newberg Medical Center,540,415,1,124,Yamhill County,2015
Willamette Valley Medical Center,510,362,18,130,Yamhill County,2015
Bella Vie Gentle Birth Center,67,64,3,0,Yamhill County,2015
Andaluz - Dundee,16,16,0,0,Yamhill County,2015
Home Birth (Planned),11,11,0,0,Yamhill County,2015
Home Birth (Unplanned),1,1,0,0,Yamhill County,2015
Total Births,45977,32297,1166,12514,State Total,2016
Total Births,136,102,1,33,Baker County,2016
St Alphonsus Medical Center - Baker City,126,93,0,33,Baker County,2016
Home Birth (Planned),10,9,1,0,Baker County,2016
Total Births,1147,865,44,238,Benton County,2016
Good Samaritan Regional Medical Center,1084,802,44,238,Benton County,2016
Corvallis Birth and Women's Health Center,30,30,0,0,Benton County,2016
Home Birth (Planned),32,32,0,0,Benton County,2016
Other,1,1,0,0,Benton County,2016
Total Births,4663,3414,122,1127,Clackamas County,2016
Kaiser Sunnyside Medical Center,2385,1748,51,586,Clackamas County,2016
Legacy Meridian Park Hospital,1121,783,23,315,Clackamas County,2016
Providence Milwaukie Hospital,1,1,0,0,Clackamas County,2016
Providence Willamette Falls Medical Center,1053,780,47,226,Clackamas County,2016
Home Birth (Planned),92,91,1,0,Clackamas County,2016
Home Birth (Unplanned),7,7,0,0,Clackamas County,2016
Other,4,4,0,0,Clackamas County,2016
Total Births,448,309,0,139,Clatsop County,2016
Columbia Memorial Hospital,339,229,0,110,Clatsop County,2016
Providence Seaside Hospital,102,73,0,29,Clatsop County,2016
Home Birth (Planned),6,6,0,0,Clatsop County,2016
Other,1,1,0,0,Clatsop County,2016
Total Births,15,15,0,0,Columbia County,2016
Home Birth (Planned),13,13,0,0,Columbia County,2016
Home Birth (Unplanned),1,1,0,0,Columbia County,2016
Other,1,1,0,0,Columbia County,2016
Total Births,681,503,8,170,Coos County,2016
Bay Area Hospital,674,496,8,170,Coos County,2016
Home Birth (Planned),4,4,0,0,Coos County,2016
Home Birth (Unknown if Planned),1,1,0,0,Coos County,2016
Other,2,2,0,0,Coos County,2016
Total Births,2,2,0,0,Crook County,2016
Home Birth (Planned),2,2,0,0,Crook County,2016
Total Births,28,23,0,5,Curry County,2016
Curry General Hospital,12,7,0,5,Curry County,2016
Bright Eyes Midwifery and Wild Rivers Womens Health,4,4,0,0,Curry County,2016
Home Birth (Planned),12,12,0,0,Curry County,2016
Total Births,2242,1599,49,594,Deschutes County,2016
St Charles Medical Center - Bend,1760,1195,48,517,Deschutes County,2016
St Charles Medical Center - Redmond,418,341,0,77,Deschutes County,2016
Bend Birth Center,19,19,0,0,Deschutes County,2016
Home Birth (Planned),44,43,1,0,Deschutes County,2016
Other,1,1,0,0,Deschutes County,2016
Total Births,905,671,17,217,Douglas County,2016
Mercy Medical Center,882,652,13,217,Douglas County,2016
Home Birth (Planned),22,18,4,0,Douglas County,2016
Other,1,1,0,0,Douglas County,2016
Total Births,43,29,1,13,Grant County,2016
Blue Mountain Hospital District,39,26,0,13,Grant County,2016
Home Birth (Planned),3,2,1,0,Grant County,2016
Home Birth (Unplanned),1,1,0,0,Grant County,2016
Total Births,67,39,0,28,Harney County,2016
Harney District Hospital,67,39,0,28,Harney County,2016
Total Births,411,305,2,104,Hood River County,2016
Providence Hood River Memorial Hospital,404,298,2,104,Hood River County,2016
Home Birth (Planned),6,6,0,0,Hood River County,2016
Home Birth (Unplanned),1,1,0,0,Hood River County,2016
Total Births,2494,1654,33,807,Jackson County,2016
Asante Ashland Community Hospital,282,195,15,72,Jackson County,2016
Providence Medford Medical Center,438,290,1,147,Jackson County,2016
Asante Rogue Valley Medical Center,1675,1074,13,588,Jackson County,2016
Kalista Birth Sanctuary,31,29,2,0,Jackson County,2016
Home Birth (Planned),63,61,2,0,Jackson County,2016
Home Birth (Unplanned),2,2,0,0,Jackson County,2016
Other,3,3,0,0,Jackson County,2016
Total Births,152,107,1,44,Jefferson County,2016
St Charles - Madras,148,103,1,44,Jefferson County,2016
Home Birth (Planned),4,4,0,0,Jefferson County,2016
Total Births,856,677,9,170,Josephine County,2016
Asante Three Rivers Medical Center,793,614,9,170,Josephine County,2016
Trillium Waterbirth Center - Redwood Clinic,11,11,0,0,Josephine County,2016
Rogue Birth Center,4,4,0,0,Josephine County,2016
Home Birth (Planned),32,32,0,0,Josephine County,2016
Home Birth (Unplanned),1,1,0,0,Josephine County,2016
Other,15,15,0,0,Josephine County,2016
Total Births,820,595,10,215,Klamath County,2016
Sky Lakes Medical Center,782,562,5,215,Klamath County,2016
Baby Catchers and Company,3,3,0,0,Klamath County,2016
Klamath Womens Clinic & Birth Center,26,22,4,0,Klamath County,2016
Home Birth (Planned),8,7,1,0,Klamath County,2016
Home Birth (Unplanned),1,1,0,0,Klamath County,2016
Total Births,56,38,0,18,Lake County,2016
Lake District Hospital,56,38,0,18,Lake County,2016
Total Births,3862,2523,85,1254,Lane County,2016
McKenzie-Willamette Medical Center,1032,670,21,341,Lane County,2016
Peace Harbor Medical Center,68,46,0,22,Lane County,2016
Sacred Heart Medical Center - RiverBend,2563,1609,63,891,Lane County,2016
PeaceHealth Medical Group Nurse Midwifery Birth Center,114,114,0,0,Lane County,2016
Sacred Waters - A Community Birthing Center,2,2,0,0,Lane County,2016
Home Birth (Planned),73,73,0,0,Lane County,2016
Home Birth (Unplanned),5,5,0,0,Lane County,2016
Other,5,4,1,0,Lane County,2016
Total Births,370,267,3,100,Lincoln County,2016
Samaritan North Lincoln Hospital,149,101,0,48,Lincoln County,2016
Samaritan Pacific Communities Hospital,213,158,3,52,Lincoln County,2016
Home Birth (Planned),7,7,0,0,Lincoln County,2016
Other,1,1,0,0,Lincoln County,2016
Total Births,949,714,8,227,Linn County,2016
Samaritan Albany General Hospital,541,387,1,153,Linn County,2016
Samaritan Lebanon Community Hospital,316,242,0,74,Linn County,2016
Growing Family Birth Center,40,37,3,0,Linn County,2016
Home Birth (Planned),50,46,4,0,Linn County,2016
Other,2,2,0,0,Linn County,2016
Total Births,448,320,4,124,Malheur County,2016
St Alphonsus Medical Center - Ontario,445,318,3,124,Malheur County,2016
Home Birth (Planned),2,1,1,0,Malheur County,2016
Other,1,1,0,0,Malheur County,2016
Total Births,5198,3774,91,1333,Marion County,2016
Salem Hospital,3516,2462,58,996,Marion County,2016
Santiam Memorial Hospital,86,60,0,26,Marion County,2016
Silverton Hospital,1467,1126,30,311,Marion County,2016
Aurora Birth Center,41,40,1,0,Marion County,2016
Home Birth (Planned),70,69,1,0,Marion County,2016
Home Birth (Unplanned),10,10,0,0,Marion County,2016
Other,8,7,1,0,Marion County,2016
Total Births,2,2,0,0,Morrow County,2016
Home Birth (Planned),2,2,0,0,Morrow County,2016
Total Births,10953,7342,436,3175,Multnomah County,2016
Adventist Medical Center,936,646,16,274,Multnomah County,2016
Legacy Emanuel Medical Center,2091,1260,74,757,Multnomah County,2016
Legacy Good Samaritan Medical Center,1138,795,16,327,Multnomah County,2016
Legacy Mount Hood Medical Center,934,689,33,212,Multnomah County,2016
OHSU Hospitals and Clinics,2532,1558,174,800,Multnomah County,2016
Providence Portland Medical Center,2834,1919,110,805,Multnomah County,2016
Alma Midwifery Services,72,71,1,0,Multnomah County,2016
Andaluz Birth Center - Portland,125,119,6,0,Multnomah County,2016
Home Birth (Planned),262,258,4,0,Multnomah County,2016
Home Birth (Unplanned),18,18,0,0,Multnomah County,2016
Home Birth (Unknown if Planned),2,1,1,0,Multnomah County,2016
Other,9,8,1,0,Multnomah County,2016
Total Births,13,12,1,0,Polk County,2016
Home Birth (Planned),12,11,1,0,Polk County,2016
Other,1,1,0,0,Polk County,2016
Total Births,1,1,0,0,Sherman County,2016
Home Birth (Planned),1,1,0,0,Sherman County,2016
Total Births,191,136,0,55,Tillamook County,2016
Tillamook Regional Medical Center,183,128,0,55,Tillamook County,2016
Home Birth (Planned),8,8,0,0,Tillamook County,2016
Total Births,731,498,4,229,Umatilla County,2016
Good Shepherd Medical Center,413,277,0,136,Umatilla County,2016
St Anthony Hospital,306,211,2,93,Umatilla County,2016
Home Birth (Planned),10,8,2,0,Umatilla County,2016
Home Birth (Unknown if Planned),1,1,0,0,Umatilla County,2016
Other,1,1,0,0,Umatilla County,2016
Total Births,285,187,1,97,Union County,2016
Grande Ronde Hospital,272,175,0,97,Union County,2016
Home Birth (Planned),13,12,1,0,Union County,2016
Total Births,55,33,0,22,Wallowa County,2016
Wallowa Memorial Hospital,55,33,0,22,Wallowa County,2016
Total Births,280,204,1,75,Wasco County,2016
Mid-Columbia Medical Center,275,199,1,75,Wasco County,2016
Home Birth (Planned),5,5,0,0,Wasco County,2016
Total Births,6339,4458,218,1663,Washington County,2016
Providence St Vincent Medical Center,4010,2626,158,1226,Washington County,2016
Tuality Community Hospital - Hillsboro,706,545,21,140,Washington County,2016
Kaiser Foundation Hospital- Westside,1446,1115,34,297,Washington County,2016
Andaluz Birth Center - Tualatin,40,38,2,0,Washington County,2016
Canyon Medical Center,52,51,1,0,Washington County,2016
Home Birth (Planned),72,70,2,0,Washington County,2016
Home Birth (Unplanned),9,9,0,0,Washington County,2016
Other,4,4,0,0,Washington County,2016
Total Births,1133,878,17,238,Yamhill County,2016
Providence Newberg Medical Center,527,409,6,112,Yamhill County,2016
Willamette Valley Medical Center,510,374,10,126,Yamhill County,2016
Bella Vie Gentle Birth Center,60,59,1,0,Yamhill County,2016
Andaluz - Dundee,21,21,0,0,Yamhill County,2016
Home Birth (Planned),14,14,0,0,Yamhill County,2016
Other,1,1,0,0,Yamhill County,2016
Total Births,44160,30773,993,12394,State Total,2017
Total Births,129,105,0,24,Baker County,2017
St Alphonsus Medical Center - Baker City,123,99,0,24,Baker County,2017
Home Birth (Planned),5,5,0,0,Baker County,2017
Other,1,1,0,0,Baker County,2017
Total Births,1107,822,33,252,Benton County,2017
Good Samaritan Regional Medical Center,992,708,32,252,Benton County,2017
Corvallis Birth and Women's Health Center,92,92,0,0,Benton County,2017
Home Birth (Planned),22,21,1,0,Benton County,2017
Home Birth (Unplanned),1,1,0,0,Benton County,2017
Total Births,4357,3140,103,1114,Clackamas County,2017
Kaiser Sunnyside Medical Center,2301,1666,54,581,Clackamas County,2017
Legacy Meridian Park Hospital,992,668,16,308,Clackamas County,2017
Providence Willamette Falls Medical Center,963,707,31,225,Clackamas County,2017
Home Birth (Planned),98,96,2,0,Clackamas County,2017
Home Birth (Unplanned),2,2,0,0,Clackamas County,2017
Other,1,1,0,0,Clackamas County,2017
Total Births,401,300,1,100,Clatsop County,2017
Columbia Memorial Hospital,286,221,1,64,Clatsop County,2017
Providence Seaside Hospital,104,68,0,36,Clatsop County,2017
Home Birth (Planned),11,11,0,0,Clatsop County,2017
Total Births,14,14,0,0,Columbia County,2017
Home Birth (Planned),14,14,0,0,Columbia County,2017
